ID.met	logFC
Phe	-2.4646253359104
H1	-1.80901257745447
Histamine	-1.4006459746154
NTyr	-1.29398871351732
Met	-1.16413907404131
Pro	-1.16191247284434
Ala	-1.15350439737654
Arg	-1.09467173208665
C2	-1.05061473980944
PC ae C30:1	-1.03807975674432
Asp	-0.967616366584092
SM C16:1	-0.949047724766346
lysoPC a C20:4	0.936513156838108
Leu	-0.892834331912892
PC ae C44:5	-0.892285780334016
PC ae C44:3	-0.873864106198004
ADMA	0.862139065310803
PC ae C36:0	-0.839691079578081
Glutamine	-0.837842435600683
PC ae C34:3	-0.797920487377145
PC aa C40:5	0.772536942550343
C18:2	-0.742502707383992
PC aa C38:4	0.715728932953283
C14:1	-0.710092066180652
SM (OH) C16:1	-0.673714306694312
Serotonin	-0.666408581756581
SM C18:0	-0.659853530200239
PC ae C32:2	-0.655830958536366
PC aa C38:5	0.65050075115111
PC ae C30:2	-0.648073816069443
PC aa C38:1	-0.644294340211003
SM C16:0	-0.639382990420272
PC aa C34:4	0.631522702720203
Spermine	-0.626720763995066
PC aa C28:1	-0.625510202715482
DOPA	-0.60750100095216
PC aa C36:4	0.588770828728382
PC aa C36:0	-0.582421754997609
PC aa C36:3	0.576322078563875
PC aa C30:0	-0.575963386626163
Taurine	-0.574062665991564
SM C18:1	-0.564830568385333
Creatinin	-0.562582473748423
Spermidine	-0.546969129264522
Cit	0.538947822132325
PC ae C40:1	0.538113795805949
PC ae C38:1	-0.530423673464869
SM (OH) C22:2	-0.507817409160411
PC aa C42:1	-0.505705216168002
Trp	-0.49558260512667
PC aa C42:4	-0.490451306602695
PC aa C42:2	-0.489358986800127
PC aa C36:2	0.481487501401157
Thyr	-0.480052392742688
Glutamate	-0.470263837016221
Orn	-0.438022607350151
Gly	-0.436476884669696
PC ae C36:1	-0.429108268636999
PC aa C34:2	0.417054776370304
Tyr	-0.413020673967212
PC aa C32:0	-0.410579384394629
PC aa C42:6	-0.402841366186973
PC aa C40:3	-0.396919297077479
PC aa C42:5	-0.396562360359818
Asn	-0.377121238534553
PC aa C38:0	-0.367218061810219
lysoPC a C28:1	-0.366824303486746
lysoPC a C24:0	-0.36595967801949
PC ae C40:3	-0.358479728925954
PC ae C34:1	-0.357579956947002
PC ae C44:6	-0.353858599110306
PC aa C36:5	0.341392264174099
PC ae C38:0	-0.335638383542037
PC aa C38:3	0.329658835618803
PC aa C38:6	0.325359057644316
PC ae C38:4	0.320637197209729
PC ae C42:1	-0.309418071620831
Ser	-0.300091731031384
PC ae C34:0	-0.299488216005817
Histidine	-0.294624544950587
PC aa C36:1	-0.287227491479221
lysoPC a C17:0	-0.286811806383097
SM C24:1	-0.283765621239807
PC ae C40:4	0.269633507427431
PC aa C32:3	-0.249471225122794
PC aa C40:2	-0.244675851092138
PC aa C34:1	-0.24452448851943
Dopamine	-0.24378018432943
PC aa C34:3	0.235445964658039
PC ae C34:2	0.22288092481038
Kynurenine	-0.186463295571122
PC ae C32:1	-0.176731300269509
PC ae C40:6	0.175997611760137
PC aa C36:6	-0.175220559535899
lysoPC a C18:0	0.172893141184298
PC ae C40:2	-0.162649493557059
PC aa C32:2	-0.146564640190016
lysoPC a C16:1	-0.14638116693893
PC aa C40:6	0.14584403128578
PC ae C42:2	-0.142383901340848
PC ae C38:2	0.139780135802829
lysoPC a C16:0	0.135491421461249
PC ae C42:3	0.124752436037799
PC ae C40:5	0.111488061857289
SM (OH) C24:1	-0.10953911037644
lysoPC a C18:1	0.10489520998955
SM C26:1	-0.101946275755974
PC ae C36:4	0.0980448614011802
Ile	0.0948683881584351
PC ae C42:4	-0.0935845864858713
SM C24:0	-0.0800517165904777
Putrescine	0.0632098232256719
PC ae C38:3	-0.0480770224193214
PC ae C36:2	0.0452524014135767
PC aa C32:1	0.0400032588760038
SM (OH) C22:1	-0.0370463509919674
PC ae C38:6	-0.0364176535756431
PC ae C38:5	-0.0356319795074953
PC ae C36:5	-0.0296248074258079
PC ae C36:3	-0.0274864524213771
Carnosine	-0.0189935530955747
PC aa C40:4	0.00786760193102864
